"name","id"
"Lemon verbena","ev:E00811"
"Leonuri herba","ev:E00201"
"Leonurus fruit","ev:E00706"
"Leonurus herb","ev:E00201"
"Lepidium seed","ev:E00293"
"Lepisori herba","ev:E00480"
"Lepisorus herb","ev:E00480"
"Leporidae feces","ev:E00511"
"Licopi herba","ev:E00472"
"Licorice","ev:E00027"
"Ligustici rhizoma","ev:E00223"
"Ligusticum root and rhizome","ev:E00223"
"Ligusticum sinense rhizome","ev:E00675"
"Ligusticum sinese rhizome","ev:E00223"
"Ligusticum tenuissimum root and rhizome","ev:E00676"
"Ligustrum lucidum fruit","ev:E00337"
"Lilium bulb","ev:E00187"
"Lily bulb","ev:E00187"
"Lime oil","ev:E00558"
"Lime tree flower","ev:E00828"
"Limonit","ev:E00542"
"Limonitum","ev:E00542"
"Linden flower","ev:E00828"
"Lindera root","ev:E00070"
"Lini semen","ev:E00446"
"Linum usitatissimum seed","ev:E00446"
"Liquidambar formosana fruit","ev:E00365"
"Liquidambar formosana fruit resin","ev:E00589"
"Liquidambar orientalis balsam","ev:E00503"
"Liquorice","ev:E00027"
"Litchi chinensis seed","ev:E00440"
"Litchi semen","ev:E00440"
"Lithospermum root","ev:E00035"
"Loess","ev:E00549"
"Longan aril","ev:E00202"
"Longan arillus","ev:E00202"
"Longgu","ev:E00168"
"Lonicera flower","ev:E00207"
"Lonicera flower bud","ev:E00207"
"Lonicera leaf and stem","ev:E00143"
"Lonicerae flos","ev:E00207"
"Lophatherum gracile herb","ev:E00484"
"Loquat leaf","ev:E00151"
"Lumbricus","ev:E00209"
"Luppuli strobilus","ev:E00846"
"Lycii folium","ev:E00323"
"Lycium bark","ev:E00108"
"Lycium fruit","ev:E00081"
"Lycium leaf","ev:E00323"
"Lycopus lucidus herb","ev:E00472"
"Lycoris radiata bulb","ev:E00851"
"Lysimachia foenum-graecum herb","ev:E00477"
"Lysimachiae herba","ev:E00477"
"Maca","ev:E00816"
"Macrotomiae radix","ev:E00035"
"Madagascar periwinkle","ev:E00404"
"Madder root","ev:E00286"
"Magnetite","ev:E00277"
"Magnolia bark","ev:E00092"
"Magnolia denudata flower bud","ev:E00565"
"Magnolia flower","ev:E00117"
"Magnolia flower bud","ev:E00117"
"Magnolia salicifolia flower bud","ev:E00564"
"Maidenhair tree","ev:E00760"
"Maitake","ev:E00815"
"Male seal sex organ","ev:E00296"
"Mallotus bark","ev:E00033"
"Mallow flowers","ev:E00763"
"Malt","ev:E00255"
"Malt extract","ev:E00041"
"Malt extract","ev:E00250"
"Manis pentadactyla cuirass","ev:E00377"
"Mantidae mantis egg-case","ev:E00288"
"Margarita","ev:E00523"
"Margosa","ev:E00793"
"Marigold","ev:E00772"
"Marshmallow","ev:E00817"
"Maypop","ev:E00801"
"Medicated leaven","ev:E00279"
